st_date,year,state,city,cases,lat,lon
13-04-2010 00:00,2010,Maharashtra,beed,22,18.6628438,75.9869609
16-04-2012 00:00,2012,Tamil Nadu,Dindigul,12,10.2705311,78.0591508
09-04-2013 00:00,2013,Karnataka,Belgaum,25,16.0313435,74.5331455
16-04-2014 00:00,2014,Maharashtra,Dhule,18,19.6524422,73.3031886
17-03-2014 00:00,2014,Kerala,Kottayam,13,9.4464941,76.5402167
29-03-2014 00:00,2014,Maharashtra,Thane,20,19.2047927,72.9836005
01-11-2014 00:00,2015,Maharashtra,Satara,8,18.041706,74.1861821
02-09-2014 00:00,2015,Maharashtra,Satara,11,17.4608105,74.3190821
24-10-2014 00:00,2015,Maharashtra,Satara,22,17.9934982,74.4304276
09-04-2010 00:00,2010,Kerala,Kottayam,14,9.4810562,76.8450521
27-04-2011 00:00,2011,Andhra Pradesh,Warangal,8,18.2644598,79.6836683
24-04-2011 00:00,2011,Tamil Nadu,Karur,4,10.6856163,77.9030721
24-04-2012 00:00,2012,Andhra Pradesh,Mahabubnagar,24,16.4452681,78.053068
19-04-2012 00:00,2012,Andhra Pradesh,Prakasam,35,15.348463,79.560344
08-04-2013 00:00,2013,Maharashtra,Gondia,22,21.3304958,80.3999609
17-04-2014 00:00,2014,Maharashtra,Dhule,14,21.4162944,74.7658918
09-04-2010 00:00,2010,Kerala,Kottayam,32,9.4449027,76.9340573
11-04-2012 00:00,2012,Karnataka,Tumkur,26,13.6284935,76.9859077
29-04-2013 00:00,2013,Andhra Pradesh,Warangal,43,18.4434898,79.6368766
20-04-2014 00:00,2014,Maharashtra,Thane,14,19.4123672,73.2190318
18-04-2014 00:00,2014,Madhya Pradesh,Narsinghpur,63,22.8323348,78.6749352
25-04-2015 00:00,2015,Maharashtra,Gadhchiroli,44,18.7322508,80.1916911
26-03-2015 00:00,2015,Kerala,Kottayam,29,9.6679,76.5329523
21-04-2015 00:00,2015,Tamil Nadu,Thiruchirapalli,32,10.9210906,78.6180873
05-04-2015 00:00,2015,Tamil Nadu,Thiruchirapalli,24,10.6609457,78.4854426
30-04-2010 00:00,2010,karnataka,Kolar,12,13.3888619,78.213171
29-04-2010 00:00,2010,karnataka,Koppal,10,15.8829197,74.428543
09-05-2011 00:00,2011,Tamil Nadu,Theni,11,11.6634573,78.2611411
05-05-2012 00:00,2012,karnataka,Bellary,52,13.0416373,76.2616945
07-05-2012 00:00,2012,Maharashtra,Bhandara,18,20.8021192,79.7231612
07-05-2012 00:00,2012,Tamil Nadu,Salem,11,11.6075717,78.4686931
